name,mac address,encryption,lat,lon
None,B6:7C:9C:D3:28:CB,WPA+AES-CCM WPA+PSK,32.491903,-92.169225
None,B6:7C:9C:EF:27:93,WPA+AES-CCM WPA+PSK,32.492321,-92.124405
None,B6:93:5B:17:05:6B,WPA+AES-CCM,32.491505,-92.125702
None,B6:93:5B:19:08:8C,WPA+AES-CCM,32.485630,-92.158907
DIRECT-D8-HP OfficeJet 5200,B6:B6:86:97:1C:D8,WPA+AES-CCM WPA+PSK,32.488230,-92.138227
DIRECT-15-HP OfficeJet 5200,B6:B6:86:9A:55:15,WPA+AES-CCM WPA+PSK,32.498996,-92.129317
ATT200,B8:16:19:51:23:80,WPA+AES-CCM WPA+PSK WPA+TKIP,32.494782,-92.124457
ATT712,B8:16:19:7D:BB:90,WPA+AES-CCM WPA+PSK WPA+TKIP,,
ATT192,B8:16:19:88:44:C0,WPA+AES-CCM WPA+PSK WPA+TKIP,32.495406,-92.125005
DIRECT-roku-D34266,B8:3E:59:BE:35:35,WPA+AES-CCM WPA+PSK,32.492622,-92.175797
DIRECT-roku-6FC133,B8:3E:59:E2:CC:C5,WPA+AES-CCM WPA+PSK,32.488470,-92.165768
None,B8:86:87:B3:8B:5D,WPA+AES-CCM WPA+PSK,32.484998,-92.159710
Moose Haus,B8:8D:12:64:D0:0F,WPA+AES-CCM WPA+PSK,32.487566,-92.139279
HOME-0738,B8:9B:C9:70:07:38,WPA+AES-CCM WPA+PSK WPA+TKIP,32.486973,-92.152519
None,B8:A1:75:4A:16:7F,WPA+AES-CCM WPA+PSK,32.494818,-92.178402
None,BA:23:AE:87:19:24,WPA+AES-CCM WPA+TKIP,32.492742,-92.175748
xfinitywifi,BA:9F:EC:0B:90:EB,None,32.499310,-92.129677
xfinitywifi,BA:9F:EC:1E:1C:0F,None,32.485534,-92.159488
xfinitywifi,BA:9F:EC:2E:1E:A4,None,32.485192,-92.160086
xfinitywifi,BA:9F:EC:5F:83:AB,None,32.488462,-92.165023
Getyourownwifi,BC:2E:48:99:08:A3,WPA+AES-CCM WPA+PSK,32.499028,-92.129171
ATT94wfrqs,BC:2E:48:BA:C6:70,WPA+AES-CCM WPA+PSK,32.499326,-92.129675
ATT4458,BC:2E:48:BA:DB:30,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492264,-92.131888
HOME-18BC-2.4,BC:2E:48:E8:CC:90,WPA+AES-CCM WPA+PSK WPA+TKIP,32.492346,-92.126717
Mclaurin,BC:64:4B:14:A4:CD,WPA+AES-CCM WPA+PSK WPA+TKIP,32.493084,-92.166766
Armstrong,BC:64:4B:14:C4:49,WPA+AES-CCM WPA+PSK WPA+TKIP,32.488483,-92.166885
Cooper's,BC:64:4B:33:13:25,WPA+AES-CCM WPA+PSK,32.491820,-92.125331
Xfin-35AF,BC:64:4B:36:E7:9B,WPA+AES-CCM WPA+PSK WPA+TKIP,32.491708,-92.167321
cooper2013,BC:82:5D:AD:9C:78,WPA+AES-CCM WPA+PSK WPA+TKIP,,
Dago,BC:9B:68:12:2B:AD,WPA+AES-CCM WPA+PSK,32.487469,-92.160805
None,BC:9B:68:12:2B:B0,WPA+AES-CCM WPA+PSK,32.488121,-92.160522
None,BC:9B:68:12:2B:B2,WPA+AES-CCM,32.487692,-92.160709
royale1979,BC:9B:68:35:7D:47,WPA+AES-CCM WPA+PSK,32.485060,-92.160511
xfinitywifi,BC:9B:68:35:7D:49,None,32.484962,-92.161293
None,BC:9B:68:35:7D:4A,WPA+AES-CCM WPA+PSK,32.485126,-92.161065
None,BC:9B:68:35:7D:4C,WPA+AES-CCM,32.485041,-92.160739
HOME-0CF2,BC:CA:B5:C9:0C:F0,WPA+AES-CCM WPA+PSK WPA+TKIP,32.484983,-92.160648
